epoch,step,loss,eval_loss,eval_accuracy,eval_precision_macro,eval_recall_macro,eval_f1_macro,learning_rate,grad_norm
1.0,324,0.5828,,,,,,8.515111695137977e-06,12.488560676574707
1.0,324,,0.47661641240119934,0.8589511754068716,0.8609762927011386,0.7156518345042935,0.7542054157549234,,
2.0,648,0.4871,,,,,,6.386333771353482e-06,8.620020866394043
2.0,648,,0.46727484464645386,0.8517179023508138,0.795672076570953,0.7641165755919854,0.7777679761624716,,
3.0,972,0.3999,,,,,,4.257555847568989e-06,5.479870796203613
3.0,972,,0.5539948344230652,0.8444846292947559,0.7833470141596552,0.7566354410616706,0.7683713228131697,,
4.0,1296,0.3205,,,,,,2.1287779237844943e-06,0.36257869005203247
4.0,1296,,0.6091487407684326,0.8589511754068716,0.8083977037693639,0.7715977101223004,0.7872741260948473,,
5.0,1620,0.252,,,,,,0.0,108.92240905761719
5.0,1620,,0.6574748754501343,0.8553345388788427,0.8014253017062005,0.7692557897475931,0.7831882694268015,,
5.0,1620,,,,,,,,
